Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
1.89,9.03,21.2,-4.6,10.39,7.81,1.66,0.9,0.38,0.542169,2.467625,1.551658,0.457983,0.628806,1.262552,0.639889,0.311331,0.506822
2.92,7.26,28.5,-6,13.16,8.68,2.19,1.07,0.56,0.488584,3.391635,1.928664,0.731485,0.568653,1.940452,0.907478,0.516487,0.467663
2.91,3.45,29.6,-13.6,10.93,7.51,2.16,1.25,0.455,0.578704,3.041119,1.925359,0.55788,0.633109,1.962354,1.093293,0.434531,0.557133
2,9.99,34.1,-15.2,8.46,6.43,1.98,1.32,0.33,0.666667,2.262967,1.596174,0.333397,0.705346,1.369136,0.866328,0.251404,0.632755
1.82,4.58,28.3,-15.2,8.03,6.29,1.37,0.89,0.24,0.649635,2.096403,1.522653,0.286875,0.726317,1.222398,0.798894,0.211752,0.653546
3.55,6.13,38.3,-16.4,9.44,7.39,2.53,1.87,0.33,0.73913,2.794444,2.126568,0.333938,0.760999,2.034054,1.459322,0.287366,0.717445
4.59,2.94,42.1,-16.4,13.7,10.62,3.02,2.1,0.46,0.695364,3.567368,2.418085,0.574642,0.677834,2.071998,1.172572,0.449713,0.565914
11.51,4.08,42.2,-22.5,17.33,13.26,4.97,3.56,0.705,0.716298,5.179578,3.829154,0.675212,0.739279,3.855026,2.645732,0.604647,0.686307
2.94,2.72,36.3,-20.6,12.81,9.27,2.08,1.14,0.47,0.548077,3.239879,1.935258,0.652311,0.597324,1.804465,0.845123,0.479671,0.468351
1.82,10.11,30.3,-19.6,9.83,7.87,2.02,1.44,0.29,0.712871,2.279792,1.522653,0.37857,0.667891,1.131415,0.609298,0.261059,0.538528
5.2,5.58,31.9,-22.6,13.17,9.79,3.39,2.53,0.43,0.746313,3.58873,2.573753,0.507488,0.717177,2.23619,1.516399,0.359896,0.678117
2.88,9.35,38.3,-24.1,10.38,7.8,2.23,1.4,0.415,0.627803,2.868676,1.915409,0.476634,0.667698,1.829885,1.024353,0.402766,0.559791
3.23,6.46,41.5,-26.5,10.48,7.85,2.24,1.42,0.41,0.633929,2.917114,2.02846,0.444327,0.695365,1.88368,1.165051,0.359315,0.618497
0.51,3.03,37.2,-25.5,5.34,2.88,1.25,0.58,0.335,0.464,1.604135,0.806028,0.399053,0.502469,1.208888,0.525656,0.341616,0.434826
3.22,6.68,37.5,-27.4,17.24,13.05,3.12,2.14,0.49,0.685897,4.081963,2.025317,1.028323,0.496163,2.080159,0.637404,0.721378,0.306421
