Type,Count,Model,Note
Myelinated Afferent,475,Gaines,"average of 3 and 1 experiments, split 50/50 A:E"
Myelinated Efferent,395,MRG,
Unmyelinated Afferent,1200,Sundt,
Unmyelinated Efferent,2800,Sundt,
