Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.63,19.9,-47.1,3.01,0.72,0.89585,0.660351
0.56,22.4,-48.7,2.88,0.62,0.844616,0.602546
0.34,21.5,-48.5,2.13,0.6,0.658119,0.537765
0.41,20.9,-49,2.61,0.5,0.722698,0.462742
0.8,22,-49.7,3.3,0.87,1.009509,0.799165
0.49,22.2,-50.9,2.83,0.61,0.790066,0.513017
0.27,21.4,-50.7,1.96,0.45,0.586472,0.437969
0.36,20.7,-50.5,2.36,0.51,0.677199,0.462418
0.91,19.6,-50.7,3.6,0.85,1.076678,0.802764
0.79,20.5,-51.6,3.46,0.82,1.00318,0.698876
0.1,19.6,-51.5,1.21,0.3,0.356915,0.258222
0.68,21.6,-51.7,3.18,0.87,0.930721,0.661109
0.24,22.6,-51.6,2.24,0.34,0.552931,0.29809
0.21,24.2,-53.4,1.77,0.43,0.517219,0.366401
0.27,24.6,-54.5,2.02,0.43,0.586472,0.409899
0.28,24.8,-54.9,2.22,0.4,0.597234,0.364886
0.65,25.7,-55.3,3.17,0.75,0.909959,0.62163
0.16,25.5,-55.9,1.54,0.34,0.451466,0.322094
0.54,26.5,-56,2.75,0.8,0.829396,0.631505
0.4,26.8,-55.4,2.72,0.49,0.713831,0.419714
0.14,28.1,-55.8,1.5,0.3,0.422308,0.278644
0.09,27.7,-56,1.2,0.28,0.3386,0.224501
0.12,27.5,-56.3,1.32,0.33,0.390981,0.285397
0.09,27.3,-56.6,1.14,0.26,0.3386,0.248836
0.15,27.1,-57.1,1.46,0.34,0.43713,0.327093
0.07,27.6,-56.8,1.15,0.22,0.298617,0.173347
0.07,28.4,-56.1,0.99,0.25,0.298617,0.227888
0.12,28.1,-56.3,1.31,0.33,0.390981,0.29044
0.11,27.9,-56.6,1.32,0.26,0.374336,0.25036
0.19,27.7,-57.2,1.74,0.36,0.491974,0.326983
0.05,27.1,-56.8,1.02,0.18,0.252377,0.137057
0.83,29,-57.1,3.54,0.78,1.028263,0.719007
0.17,29,-56.1,1.61,0.36,0.465361,0.322511
0.18,29.4,-56.3,1.65,0.41,0.478852,0.334528
0.16,29.8,-56.7,1.53,0.34,0.451466,0.326655
0.49,30,-57.7,2.76,0.6,0.790066,0.536916
0.87,29,-58,3.72,0.82,1.052749,0.700207
0.83,31,-57.2,3.51,0.83,1.028263,0.731795
0.21,29.5,-55.6,1.73,0.44,0.517219,0.385549
0.34,33.2,-56.6,2.36,0.49,0.658119,0.426598
0.49,18,-37.2,3.3,0.49,0.790066,0.408686
0.52,17,-37.4,2.84,0.58,0.813892,0.554296
0.38,18.5,-38,2.43,0.54,0.695756,0.473083
0.22,18.9,-38.5,1.84,0.48,0.529391,0.363482
0.35,17.4,-38.2,2.46,0.52,0.667727,0.413726
0.15,16.9,-39.1,1.46,0.37,0.43713,0.327093
0.28,17.9,-38.8,2.04,0.5,0.597234,0.424649
0.35,18.7,-39.3,2.44,0.45,0.667727,0.419262
0.27,17.8,-39.4,2.29,0.34,0.586472,0.332799
0.3,18.2,-39.8,2.49,0.39,0.618195,0.335835
0.11,18.8,-39.7,1.26,0.3,0.374336,0.275159
0.06,19.3,-39.4,0.91,0.24,0.276465,0.215099
0.03,19.1,-39.8,0.63,0.18,0.195491,0.162718
0.39,19.9,-40.1,2.58,0.5,0.704851,0.441319
0.49,18.7,-40.6,3.38,0.46,0.790066,0.396214
1.2,17.6,-40.9,4.69,1.22,1.236391,0.731609
0.49,19.6,-40.6,2.73,0.57,0.790066,0.548463
0.16,20.2,-40.6,1.61,0.39,0.451466,0.295715
0.44,20.6,-41,2.57,0.66,0.748672,0.526721
0.47,20.1,-41.5,2.88,0.48,0.773774,0.471605
0.19,18.6,-41.3,1.67,0.4,0.491974,0.354631
0.67,18.6,-41.8,3.43,0.76,0.923852,0.565217
0.44,17,-42.2,2.73,0.66,0.748672,0.471667
