Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
1.61,4.38,54.8,-7.8,7.04,5.02,1.89,1.28,0.305,0.677249,2.062711,1.432116,0.315298,0.694288,1.468228,0.966702,0.250763,0.658414
2.94,7.32,57.7,-8.3,12.47,9.09,2.65,1.83,0.41,0.690566,3.017993,1.935258,0.541367,0.64124,1.582811,0.8649,0.358956,0.546433
1.47,4.69,44,-8.7,8.19,6.24,1.48,0.92,0.28,0.621622,2.025317,1.368434,0.328442,0.675664,1.093466,0.633736,0.229865,0.579566
11.87,12.09,59.4,-11.7,20.11,16.27,4.73,3.54,0.595,0.748414,5.381024,3.888575,0.746224,0.722646,3.25715,2.005937,0.625607,0.615856
2.28,2.04,40.7,-11.4,8.78,6.49,2.01,1.29,0.36,0.641791,2.490747,1.704247,0.39325,0.684231,1.663686,1.002444,0.330621,0.602544
4.92,5.47,73.1,-13,12.21,9.41,3.01,2.28,0.365,0.757475,3.454896,2.503501,0.475698,0.724624,2.296804,1.502001,0.397402,0.653953
4.12,4.5,69.3,-13.2,13.14,8.78,2.73,1.65,0.54,0.604396,3.535083,2.29094,0.622072,0.648058,2.158088,1.334722,0.411683,0.618474
3.38,3.44,49.2,-14.4,7.84,6.71,2.36,2.03,0.165,0.860169,2.412811,2.075026,0.168892,0.860004,1.94541,1.700007,0.122701,0.873855
4.82,3.18,55.6,-14.8,11.91,8.58,2.98,1.79,0.595,0.600671,3.579844,2.477928,0.550958,0.692189,2.701539,1.71248,0.494529,0.633891
4.92,2.4,81.3,-15.4,11.86,9.78,2.35,1.89,0.23,0.804255,3.21422,2.503501,0.35536,0.778883,1.985283,1.418421,0.283431,0.714468
