Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.59,8.6,-5.3,3.23,0.54,0.866944,0.527508
0.22,7.8,-6,1.78,0.41,0.529391,0.38978
0.57,7.3,-7.2,3.31,0.56,0.852124,0.48695
0.63,8.3,-6.5,3.23,0.69,0.89585,0.575113
0.31,9,-5.8,2.28,0.45,0.628414,0.39932
0.43,10.3,-4.7,2.44,0.63,0.740115,0.57211
0.35,10.2,-3.9,2.21,0.59,0.667727,0.510853
0.56,9.5,-4.2,3.22,0.78,0.844616,0.496143
0.48,9.7,-5.2,2.84,0.58,0.781962,0.49591
0.42,10.2,-5.4,2.47,0.65,0.731459,0.533107
0.82,10.1,-6.5,3.34,0.84,1.02205,0.809804
0.84,9.3,-7.1,3.87,0.95,1.034439,0.625294
0.77,12.9,-6.4,3.2,0.85,0.9904,0.813833
0.84,13.8,-6,3.38,0.93,1.034439,0.819967
1.96,11.9,-4.2,5.01,1.55,1.580131,1.409915
0.93,13.5,-3.2,3.65,1.01,1.088445,0.805906
0.9,14.7,-2.9,3.62,0.88,1.070746,0.778134
0.63,15.6,-3.5,3.2,0.74,0.89585,0.584486
0.95,14.8,-4.1,3.75,0.85,1.100087,0.785184
0.76,15.2,-4.8,3.42,0.81,0.983948,0.675093
0.35,14.1,-4.7,2.22,0.55,0.667727,0.504988
0.4,13.3,-4.3,2.34,0.65,0.713831,0.560605
0.66,12.5,-5.5,2.97,0.87,0.916932,0.747116
0.31,13.5,-5.2,2.12,0.46,0.628414,0.45907
0.32,19,-3.7,2.1,0.56,0.63847,0.496751
0.29,18.5,-4,2.1,0.44,0.607805,0.422143
0.44,18.1,-4.5,2.63,0.61,0.748672,0.503505
0.84,17.1,-4.8,3.57,0.74,1.034439,0.719757
0.37,16.5,-4.1,2.62,0.53,0.68654,0.40277
0.65,17.5,-3.9,3.2,0.81,0.909959,0.610666
0.33,18.1,-3.4,2.29,0.47,0.648369,0.431793
0.25,16.2,-5.3,2.17,0.38,0.564333,0.327483
0.25,15.9,-5.6,2.07,0.4,0.564333,0.352246
0.3,15,-5.6,2.38,0.52,0.618195,0.35804
0.33,15.4,-6,2.44,0.43,0.648369,0.388541
0.54,15,-6.5,2.69,0.68,0.829396,0.672885
0.61,18,-5.7,3.28,0.62,0.881516,0.53747
0.19,19.7,-6.6,2.13,0.29,0.491974,0.243214
0.6,19.2,-6.1,3.34,0.71,0.87426,0.511938
1.26,20.8,-5.9,5.54,0.65,1.266924,0.617804
0.62,20.8,-6.6,3.2,0.65,0.888712,0.571835
0.26,20.5,-7.1,2.55,0.28,0.575509,0.27629
1.3,24.3,-4.7,5.88,1.38,1.286876,0.59452
0.55,23,-6.1,3.26,0.5,0.837041,0.476519
0.39,24.8,-5.3,2.56,0.49,0.704851,0.44704
0.4,25.9,-4.8,3.35,0.39,0.713831,0.319528
0.18,25.2,-5.5,1.96,0.32,0.478852,0.254676
0.73,24.4,-6,3.44,0.63,0.964332,0.630625
0.81,25.5,-6.9,3.86,0.66,1.015799,0.599547
0.73,24.3,-7,3.16,0.84,0.964332,0.758013
0.5,22.1,-6.9,2.8,0.64,0.798087,0.537992
0.25,23.1,-7.2,1.92,0.44,0.564333,0.404687
0.26,21.7,-7.5,2.06,0.39,0.575509,0.374312
0.37,21.5,-8,2.65,0.43,0.68654,0.396048
0.38,22.3,-8,2.86,0.47,0.695756,0.367647
0.41,22.7,-8.5,2.93,0.42,0.722698,0.389033
1.38,23.9,-8,4.88,0.94,1.325882,0.822388
1.21,22.1,-9.3,4.08,0.98,1.241532,0.96795
0.88,24.3,-9.5,3.91,0.74,1.058782,0.65325
0.75,32.5,-5.9,3.58,0.72,0.977453,0.611211
0.86,31.4,-6.7,3.69,0.79,1.046681,0.699133
0.53,29.7,-7.6,3.1,0.5,0.821681,0.490371
2.43,32.5,-7.7,6.31,1.76,1.759415,1.139585
1.11,28.3,-9.2,4.61,0.7,1.189123,0.681316
0.74,30.4,-8.2,3.19,0.75,0.970915,0.757476
0.52,29.7,-8.7,3.36,0.43,0.813892,0.427543
0.17,29.4,-8.2,1.78,0.29,0.465361,0.272296
0.66,27.1,-9.8,4.38,0.5,0.916932,0.401847
0.35,25.4,-10,2.76,0.35,0.667727,0.350271
0.24,33.1,-8.8,2.07,0.35,0.552931,0.334125
0.51,30.5,-9.4,2.8,0.74,0.806028,0.553706
0.4,31,-10,2.53,0.54,0.713831,0.472341
0.51,29.6,-9.8,3.65,0.46,0.806028,0.376568
1.39,30.5,-10.6,4.82,0.93,1.330677,0.847417
1.23,28.4,-10.3,4.97,0.79,1.25175,0.693208
0.22,31.4,-9,1.96,0.34,0.529391,0.32556
0.11,32.5,-9,1.28,0.27,0.374336,0.265851
0.35,34.9,-6.8,2.64,0.48,0.667727,0.372174
0.15,35.5,-7,1.48,0.38,0.43713,0.316975
0.21,35.8,-7.5,1.73,0.42,0.517219,0.385549
0.2,35.2,-7.6,1.7,0.46,0.504754,0.370247
0.38,36.5,-8,2.34,0.59,0.695756,0.511783
0.95,36.3,-9.1,3.78,0.91,1.100087,0.772223
0.35,37.4,-8.5,2.19,0.56,0.667727,0.523653
0.28,37.7,-9,1.96,0.56,0.597234,0.467602
0.27,37.1,-9,1.92,0.52,0.586472,0.462401
0.45,37.3,-9.7,2.49,0.65,0.757132,0.589186
0.12,36,-8.3,1.31,0.32,0.390981,0.29044
0.71,35.3,-8.8,3.17,0.89,0.95103,0.714511
0.3,34.5,-9.6,2.19,0.44,0.618195,0.409486
0.1,35.1,-9.8,1.18,0.33,0.356915,0.274156
0.31,36.2,-10.2,2.23,0.51,0.628414,0.414969
0.46,35.4,-10.3,2.56,0.67,0.765498,0.570606
0.99,34.2,-10.7,3.66,0.97,1.123008,0.897074
0.31,38.1,-9.7,2.23,0.53,0.628414,0.414969
0.39,39.3,-10.3,2.46,0.51,0.704851,0.479917
0.37,38.5,-10.2,2.32,0.61,0.68654,0.499584
0.8,36.9,-10.9,3.43,0.84,1.009509,0.72565
0.61,38.1,-10.8,2.92,0.82,0.881516,0.672834
0.25,38.8,-10.7,1.99,0.52,0.564333,0.37701
0.9,38.8,-11.6,3.62,0.98,1.070746,0.778134
0.31,37.6,-11.6,2.19,0.49,0.628414,0.429141
0.47,35.9,-11.3,2.8,0.68,0.773774,0.49375
0.36,35,-11.5,2.34,0.52,0.677199,0.470181
0.93,34.3,-12,3.83,0.86,1.088445,0.729552
0.43,35.5,-12,2.48,0.66,0.740115,0.549112
0.73,36.3,-12,3.58,0.88,0.964332,0.59004
0.3,37.4,-12.2,2.19,0.48,0.618195,0.409486
0.55,36.2,-12.8,3.1,0.81,0.837041,0.514164
0.38,35.2,-12.6,2.24,0.66,0.695756,0.579179
0.36,33.3,-12.2,2.66,0.45,0.677199,0.380952
0.61,34.1,-12.9,2.95,0.75,0.881516,0.655953
0.41,38.1,-12.3,2.5,0.53,0.722698,0.500627
0.2,39.8,-11.4,1.7,0.42,0.504754,0.370247
0.21,39.3,-11.2,2.05,0.39,0.517219,0.287426
0.12,39.8,-11.8,1.36,0.3,0.390981,0.26825
0.12,40.1,-12.1,1.24,0.36,0.390981,0.348493
0.22,39.5,-12.1,1.73,0.5,0.529391,0.419665
1.53,40.6,-12.9,4.83,1.27,1.396082,0.966506
0.22,39.2,-12.5,1.83,0.41,0.529391,0.367394
0.45,38.9,-12.8,2.68,0.61,0.757132,0.502135
0.41,38,-12.8,2.48,0.54,0.722698,0.508818
0.36,37.2,-12.9,2.38,0.5,0.677199,0.455104
0.35,39.4,-13.6,2.36,0.6,0.667727,0.44411
0.7,41.3,-14,3.29,0.87,0.944309,0.644954
0.65,42.3,-14.4,3.17,0.77,0.909959,0.62163
0.1,41.6,-14.6,1.19,0.33,0.356915,0.26836
0.17,40.5,-14.1,1.53,0.36,0.465361,0.362626
0.16,40.8,-14.4,1.46,0.39,0.451466,0.37006
0.13,41.1,-14.7,1.33,0.34,0.406946,0.322642
0.3,38.4,-13.5,2.18,0.47,0.618195,0.412911
0.36,37.8,-13.5,2.24,0.56,0.677199,0.518909
0.52,37,-13.6,2.72,0.73,0.813892,0.607642
0.49,35.9,-13.7,3.19,0.48,0.790066,0.427637
0.39,35,-13.8,2.5,0.58,0.704851,0.465792
1.12,32.5,-13.6,4.06,0.96,1.194467,0.857823
0.25,35.7,-14.2,1.83,0.52,0.564333,0.458224
0.24,35.3,-14.6,1.8,0.51,0.552931,0.443443
0.34,37,-14.5,2.53,0.46,0.658119,0.381946
0.33,38.7,-14.2,2.54,0.35,0.648369,0.36614
0.42,38.7,-14.7,2.62,0.54,0.731459,0.47502
0.61,37.8,-14.5,3.59,0.77,0.881516,0.471544
0.81,40,-14.8,3.72,0.79,1.015799,0.635298
0.41,39.9,-15.4,2.58,0.67,0.722698,0.472087
0.42,36.2,-15.4,2.42,0.64,0.731459,0.560133
0.13,36.7,-15,1.4,0.33,0.406946,0.285332
0.19,35.8,-14.9,1.62,0.4,0.491974,0.381701
0.21,35.5,-15.4,1.69,0.43,0.517219,0.41019
0.77,36.2,-17,3.22,0.91,0.9904,0.797181
0.9,34.4,-17.1,3.72,0.89,1.070746,0.735265
0.22,33.5,-16.7,1.77,0.44,0.529391,0.394988
0.32,33.1,-16.3,2.23,0.5,0.63847,0.434147
0.63,32.6,-15.9,3.12,0.75,0.89585,0.612319
0.71,32.3,-16.8,3.16,0.82,0.95103,0.720161
0.14,33.4,-17.1,1.43,0.35,0.422308,0.306166
0.19,33.8,-17.5,1.6,0.44,0.491974,0.395821
0.29,34.3,-18.1,2.09,0.45,0.607805,0.426224
0.31,32.8,-17.4,2.05,0.57,0.628414,0.500697
0.41,33.1,-18.2,2.51,0.6,0.722698,0.496714
0.22,33.3,-17.7,1.89,0.53,0.529391,0.345944
0.65,34.1,-18.6,3.38,0.91,0.909959,0.556311
0.87,33.3,-19.2,3.7,1.01,1.052749,0.707191
0.46,32.4,-19,2.54,0.62,0.765498,0.581788
0.3,32,-17.6,2.22,0.43,0.618195,0.399766
0.46,31.1,-16.5,2.64,0.56,0.765498,0.533483
0.16,31.7,-16.3,1.47,0.4,0.451466,0.361937
0.47,31.2,-17.3,2.5,0.74,0.773774,0.63596
0.38,30.6,-17,2.26,0.69,0.695756,0.56174
0.28,30,-17.4,2.02,0.49,0.597234,0.433806
0.35,30.4,-17.8,2.3,0.56,0.667727,0.466559
0.68,31.1,-18.3,3.44,0.62,0.930721,0.573504
0.35,31.6,-18,2.47,0.46,0.667727,0.411043
0.46,30.3,-14.9,2.87,0.48,0.765498,0.461298
0.4,28.5,-18.2,2.71,0.45,0.713831,0.422045
0.43,27.6,-18.4,2.66,0.67,0.740115,0.477823
0.95,28.1,-19.3,3.98,0.8,1.100087,0.702038
0.9,28.9,-19.9,3.68,0.85,1.070746,0.751293
0.75,27.2,-20.1,3.46,0.8,0.977453,0.648082
0.63,32.1,-20.3,3.09,0.68,0.89585,0.62407
0.87,35.1,-17.7,3.82,0.79,1.052749,0.66851
0.58,28.1,-20.9,3.18,0.66,0.859566,0.528894
0.69,29,-20.8,3.49,0.74,0.93754,0.571205
1.02,25.9,-19.9,4.32,0.75,1.139896,0.675473
0.89,26.7,-21,3.91,0.81,1.064781,0.662967
1.01,25.2,-20.5,4.64,0.81,1.134295,0.603043
0.47,26.3,-21.7,2.53,0.69,0.773774,0.612197
0.36,25.7,-21.4,2.37,0.65,0.677199,0.458708
0.58,25.4,-22.2,2.9,0.76,0.859566,0.627665
0.44,25,-23.1,2.56,0.6,0.748672,0.531002
0.19,33.9,-20.2,1.69,0.43,0.491974,0.345832
0.35,33.3,-21.1,2.53,0.42,0.667727,0.395996
0.22,34,-20.5,1.97,0.41,0.529391,0.322949
0.37,34.7,-21.1,2.64,0.45,0.68654,0.398252
0.19,33.9,-20.9,1.98,0.3,0.491974,0.267694
0.21,34.6,-21.5,2.04,0.32,0.517219,0.28941
0.18,34,-21.7,1.83,0.3,0.478852,0.280533
0.25,35.4,-21.9,2.13,0.37,0.564333,0.336743
0.15,34.9,-22,1.61,0.32,0.43713,0.271214
0.4,40.4,-20,2.62,0.55,0.713831,0.44495
0.4,35.7,-23.1,2.35,0.66,0.713831,0.553948
0.19,35.3,-22.5,1.7,0.44,0.491974,0.341738
0.52,36.1,-22.5,2.76,0.74,0.813892,0.587592
0.3,36.4,-23,2.23,0.47,0.618195,0.396694
0.18,36,-23.5,1.58,0.46,0.478852,0.369501
0.34,34.3,-22.8,2.32,0.47,0.658119,0.439814
0.74,28.3,-21.9,4.09,0.88,0.970915,0.496608
0.52,30.2,-23,3.15,0.65,0.813892,0.467588
0.5,29.3,-23.2,3.23,0.55,0.798087,0.430587
0.29,29.7,-23.5,2.14,0.42,0.607805,0.407155
