Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
2.38,5.67,29,-5.5,9.55,6.44,2.3,1.33,0.485,0.578261,2.812619,1.74122,0.5357,0.619074,2.024293,1.071501,0.476396,0.529321
6.38,3.33,23,-7.9,14.19,11.01,3.25,2.3,0.475,0.707692,3.934172,2.850858,0.541657,0.72464,2.52316,1.642246,0.440457,0.650869
3.94,6.72,40.2,-8.6,14.44,10.13,2.65,1.36,0.645,0.513208,3.820828,2.240337,0.790246,0.586348,2.273213,1.048095,0.612559,0.461064
1.54,11.46,39.1,-18.3,9.31,4.68,2.35,1.31,0.52,0.557447,2.630057,1.400637,0.61471,0.53255,1.74334,1.045945,0.348697,0.599966
1.95,7.85,19.2,-19.5,10.02,5.91,1.88,1.14,0.37,0.606383,2.593475,1.576095,0.50869,0.607716,1.493119,0.94916,0.27198,0.635689
1.52,5.61,7.8,-29.5,11.77,8.39,1.54,0.56,0.49,0.363636,2.805817,1.391512,0.707153,0.495938,1.442554,0.470119,0.486218,0.325893
1.65,8.63,9.4,-32.5,9.12,6.32,1.78,0.97,0.405,0.544944,2.44949,1.449797,0.499846,0.591877,1.491477,0.709706,0.390885,0.475841
1.14,5.8,12.4,-33.5,7.79,4.93,1.51,0.79,0.36,0.523179,2.108521,1.205085,0.451718,0.571531,1.299747,0.640586,0.32958,0.492854
1.2,6.63,11.2,-34.9,7.05,4.9,1.51,0.84,0.335,0.556291,1.99362,1.236391,0.378615,0.620174,1.323938,0.686471,0.318733,0.518507
1.69,14.63,24.7,-36.3,7.49,5.14,1.93,1.16,0.385,0.601036,2.231791,1.467265,0.382263,0.657438,1.649166,0.991586,0.32879,0.601265
1.58,2.7,7.2,-36.4,8.69,6.62,1.44,0.81,0.315,0.5625,2.217475,1.41871,0.399383,0.639786,1.250728,0.639081,0.305823,0.510967
1.3,4.98,15.8,-38.2,6.6,4.97,1.82,1.36,0.23,0.747253,1.819918,1.286876,0.266521,0.707107,1.156569,0.741405,0.207582,0.641038
