Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.53,118.7,-78.8,2.93,0.65,0.821681,0.537766
0.33,114.6,-80.4,2.19,0.55,0.648369,0.472324
0.68,113.3,-80.7,3.25,0.75,0.930721,0.632932
0.37,113,-79.8,2.33,0.59,0.68654,0.494855
0.47,113.7,-79.5,2.54,0.74,0.773774,0.605269
0.22,112.4,-79.2,1.8,0.43,0.529391,0.380179
0.85,112.4,-78.5,3.45,1.01,1.040578,0.792335
0.64,113,-77.5,3.27,0.68,0.902932,0.575311
0.59,113.7,-77.3,3.57,0.54,0.866944,0.456914
0.11,114.1,-77.3,1.29,0.3,0.374336,0.261641
0.25,113.6,-78.3,1.87,0.45,0.564333,0.430507
0.84,113.6,-75.6,3.43,0.84,1.034439,0.787453
1.24,114.6,-76.1,4.18,1.07,1.256828,0.949386
0.32,115.7,-75.5,2.16,0.54,0.63847,0.463467
0.83,116.8,-76,3.34,0.92,1.028263,0.830101
0.12,116.3,-76.4,1.36,0.34,0.390981,0.26825
1.53,114.9,-74.7,4.84,1.15,1.396082,0.962568
1.59,116,-74.2,4.7,1.19,1.423193,1.094798
1.07,117.3,-74.6,3.83,1.02,1.1675,0.91475
0.26,117,-73.6,1.94,0.48,0.575509,0.421216
0.11,116.9,-73.2,1.24,0.35,0.374336,0.286047
0.1,116.4,-73.3,1.21,0.32,0.356915,0.258222
0.3,118.2,-73.2,2.21,0.58,0.618195,0.402918
0.47,117.6,-73.4,2.6,0.65,0.773774,0.570334
1.67,118.9,-74,4.75,1.25,1.458557,1.167768
0.77,113.7,-73.2,3.58,0.69,0.9904,0.633021
1.32,115.5,-72.3,4.34,1.24,1.296738,0.964538
1.45,112.7,-74.1,4.45,1.25,1.359093,1.070699
0.5,112.1,-73.5,2.84,0.55,0.798087,0.524253
0.3,119.9,-73.8,2.16,0.48,0.618195,0.420079
0.36,119.9,-74.9,2.32,0.54,0.677199,0.47846
0.48,121.2,-74.3,2.56,0.74,0.781962,0.616391
0.48,120.9,-75,2.63,0.77,0.781962,0.575104
0.76,121.7,-75.2,3.64,0.76,0.983948,0.605409
0.28,121.9,-74.3,2.15,0.43,0.597234,0.384601
0.19,120.6,-73.7,1.62,0.4,0.491974,0.381701
0.17,123.5,-73.7,1.57,0.4,0.465361,0.340083
0.83,122.7,-74,3.58,0.84,1.028263,0.703206
0.8,123.2,-73,3.35,0.82,1.009509,0.766921
1.72,121.9,-73.1,4.84,1.37,1.480231,1.170799
0.3,121.6,-71.7,2.14,0.5,0.618195,0.427719
0.41,121,-72.7,2.93,0.49,0.722698,0.389033
0.65,120.5,-72.3,3.3,0.77,0.909959,0.578439
0.09,120,-72.9,1.13,0.31,0.3386,0.254051
0.96,122.7,-72,3.74,0.92,1.105862,0.803029
0.28,121.7,-70.9,1.97,0.55,0.597234,0.461088
0.77,120.8,-71.1,3.35,0.78,0.9904,0.718985
1.4,124.4,-71.3,4.52,1.22,1.335455,0.968011
0.4,122.1,-70.3,2.49,0.54,0.713831,0.486524
0.48,121.4,-70.2,2.55,0.7,0.781962,0.623609
0.28,120.7,-70.2,2.05,0.51,0.597234,0.420349
0.37,116.7,-69.8,2.52,0.5,0.68654,0.427914
0.47,122.9,-69.3,2.65,0.7,0.773774,0.54699
0.15,122.9,-68.8,1.47,0.38,0.43713,0.321863
0.16,122.2,-68.5,1.7,0.3,0.451466,0.270514
0.18,122.3,-69.1,1.65,0.41,0.478852,0.334528
0.08,122.5,-68.3,1.06,0.27,0.319235,0.242594
0.48,121.4,-69,2.56,0.71,0.781962,0.616391
0.15,121.4,-68.3,1.55,0.32,0.43713,0.289278
0.26,120.9,-68.4,1.96,0.5,0.575509,0.411797
0.46,120.6,-69.1,2.6,0.65,0.765498,0.550773
0.42,119.8,-68.5,2.42,0.59,0.731459,0.560133
0.09,120.2,-69.2,1.16,0.32,0.3386,0.239618
0.51,127,-68.5,2.91,0.61,0.806028,0.516326
0.7,126.3,-68.6,3.35,0.88,0.944309,0.623652
0.47,126.1,-67.6,2.74,0.74,0.773774,0.512792
