Aff_Tibial_axonDiam,Aff_Tibial_axonCount,Aff_Peroneal_axonDiam,Aff_Peroneal_axonCount,Aff_Sural_axonDiam,Aff_Sural_axonCount,Eff_Tibial_axonDiam,Eff_Tibial_axonCount,Eff_Peroneal_axonDiam,Eff_Peroneal_axonCount,Eff_Sural_axonDiam,Eff_Sural_axonCount,Aff_Cutaneous_axonDiam,Aff_Cutaneous_axonCount
1.225,13.45847671,1.225,7.618733327,1.225,11.33941016,1.225,11.75923037,1.225,3.476556132,1.225,37.21341987,1.225,0
1.25,8.058989621,1.25,9.637158647,1.25,11.42278163,1.25,9.67354957,1.25,3.809731185,1.25,18.42243476,1.25,0
1.275,7.297014474,1.275,9.81835731,1.275,11.39985245,1.275,3.620923119,1.275,3.825438847,1.275,10.36820474,1.275,1
1.3,6.19116407,1.3,5.341010477,1.3,11.39917965,1.3,18.73838758,1.3,13.22446453,1.3,10.1210162,1.3,0
1.325,8.235236757,1.325,9.820776091,1.325,11.39883973,1.325,2.827091084,1.325,5.771685059,1.325,10.21379696,1.325,0
1.35,5.818112477,1.35,9.979948406,1.35,11.39853646,1.35,17.34554212,1.35,8.431607454,1.35,10.38997245,1.35,0
1.375,9.276232397,1.375,9.934300507,1.375,11.39823118,1.375,18.1534819,1.375,13.48763858,1.375,10.21412827,1.375,0
1.4,11.33863026,1.4,9.940019621,1.4,11.39791045,1.4,18.07063791,1.4,13.94043671,1.4,10.19956384,1.4,0
1.425,11.49408207,1.425,9.93933982,1.425,11.39758126,1.425,21.45293808,1.425,13.96570648,1.425,10.39322011,1.425,0
1.45,11.50316826,1.45,9.939050348,1.45,11.39723713,1.45,17.56052326,1.45,13.22459849,1.45,9.611453888,1.45,0
1.475,11.50311499,1.475,9.938811246,1.475,11.39688372,1.475,0.879263941,1.475,0.44266453,1.475,1.061017771,1.475,0
1.5,11.50288474,1.5,9.938561816,1.5,11.39651762,1.5,0.594878443,1.5,0.180080402,1.5,0.707967042,1.5,0
1.525,11.50284194,1.525,9.938303271,1.525,11.39614271,1.525,0.681907999,1.525,0.214997585,1.525,0.78842242,1.525,0
1.55,11.50280445,1.55,9.938039482,1.55,11.39575403,1.55,0.675846251,1.55,0.217767786,1.55,0.790698335,1.55,0
1.575,11.50276324,1.575,9.937770704,1.575,11.39535568,1.575,0.695933006,1.575,0.210216201,1.575,0.708100564,1.575,0
1.6,11.50272076,1.6,9.937490503,1.6,11.3949458,1.6,0.623076681,1.6,0.23754744,1.6,1.051544161,1.6,0
