Type,Count,Model,Note
Myelinated Afferent,62000,Gaines,I recommend downsampling aggressively if you want to finish before the singularity hits.
Myelinated Efferent,16000,MRG,
Unmyelinated Afferent,130000,Sundt,
Unmyelinated Efferent,64000,Sundt,
